,所属城市,所属城市英文,机场名称,机场英文名称,三字代码,四字代码,标准地址,国家,省份,城市,经度,纬度
0,北京,Beijing,北京首都国际机场,Beijing Capital International Airport,PEK,ZBAA,北京市顺义区首都国际机场,中国,北京市,北京市,116.613707,40.047674
1,上海,Shanghai,上海浦东国际机场,Shanghai Pudong International Airport,PVG,ZSPD,上海市浦东新区浦东国际机场,中国,上海市,上海市,121.80755900000001,31.140815000000003
2,广州,Guangzhou,广州白云国际机场,Guangzhou Baiyun International Airport,CAN,ZGGG,广东省广州市白云区白云国际机场,中国,广东省,广州市,113.307525,23.385983
3,上海,Shanghai,上海虹桥国际机场,Shanghai Hongqiao International Airport,SHA,ZSSS,上海市闵行区虹桥国际机场,中国,上海市,上海市,121.33795,31.196471000000003
4,深圳,Shenzhen,深圳宝安国际机场,Shenzhen Bao'an International Airport,SZX,ZGSZ,广东省深圳市宝安区宝安国际机场,中国,广东省,深圳市,113.82421799999999,22.640219000000002
5,香港,Hong Kong,香港国际机场,Hong Kong International Kai Tak Airport,HKG,VHHH,香港特别行政区香港特别行政区離島區香港国际机场,中国,香港特别行政区,香港特别行政区,113.94251499999999,22.313335000000002
6,长沙,Changsha,长沙黄花国际机场,Changsha Huanghua International Airport,CSX,ZGHA,湖南省长沙市长沙县黄花国际机场,中国,湖南省,长沙市,113.222098,28.189396000000002
7,杭州,Hangzhou,杭州萧山国际机场,Hangzhou Xiaoshan International Airport,HGH,ZSHC,浙江省杭州市萧山区萧山国际机场,中国,浙江省,杭州市,120.43695500000001,30.231291
8,昆明,Kunming,昆明长水国际机场,Kunming Wujiaba International Airport,KMG,ZPPP,云南省昆明市官渡区长水国际机场,中国,云南省,昆明市,102.935277,25.103543
9,重庆,Chongqing,重庆江北国际机场,Chongqing Jiangbei International Airport,CKG,ZUCK,重庆市渝北区重庆江北国际机场,中国,重庆市,重庆市,106.637932,29.71743
10,成都,Chengdu,成都双流国际机场,Chengdu Shuangliu International Airport,CTU,ZUUU,四川省成都市双流区双流国际机场,中国,四川省,成都市,103.950323,30.558384000000004
